1,59.37,28.196
2,59.43,24.74
3,59.4,27.91
4,54.69,25.3
5,50.46,30.56
6,56.95,24.12
7,57.31,25.21
8,55.89,26.54
9,45.13,20.27
10,38.42,27.14
11,39.93,32.86
12,36.98,35.23
13,54.68,25.28
14,31.23,121.49
15,23.35,116.66
16,-19.36,-61.07
17,17.79,43.3
18,17.7,44.24
19,16.96,42.54
20,5.14,45.25
21,47.85,118.85
22,47.71,118.88
23,47.25,117.32
24,42.45,130.61
25,39.89,116.39
26,31.23,121.47
27,60.17,24.94
28,60.41,29.99
29,17.96,102.61
30,13.76,102.65
31,34.14,75.96
32,31.83,35.08
33,31.75,35.2
34,31.58,34.47
35,31.33,34.23
36,31.25,33.81
37,24.44,118.37
38,32.08,34.78
39,31.33,34.25
40,32.76,35.64
41,33.06,35.35
42,31.77,35.2
43,31.61,34.79
44,47.49,19.04
45,29.37,-10.17
46,28.99,-10.01
47,24.45,118.38
48,26.15,119.93
49,34.34,79.03
50,34,78
51,20.84,106.68
52,21.4,103.03
53,16.44,107.56
54,10.49,105.69
55,11.35,106.06
56,21.85,106.75
57,21.02,105.83
58,33.78,76.58
59,32.49,74.53
60,31.77,35.21
61,31.77,35.21
62,33.02,35.78
63,30.57,32.44
64,10.74,106.63
65,19.45,103.33
66,14.99,106.01
67,31.25,32.32
68,29.96,32.56
69,14.06,-87.22
70,13.67,-89.09
71,30.43,48.19
72,35.16,45.99
73,29.37,47.97
74,35.34,33.31
75,35.12,33.94
76,35.11,32.85
77,13.59,106.38
78,11.55,104.92
79,11.54,104.89
80,27.5,70.07
81,24.93,67.01
82,-8.84,13.29
83,-14.83,17.76
84,43.87,18.39
85,44.19,19.37
86,44.11,19.31
87,40.58,49.63
88,40.12,45.95
89,-3.98,12.67
90,-0.23,-78.49
91,14.73,37.81
92,42.55,20.81
93,44.81,20.46
94,34.55,76.13
95,31.63,65.73
96,34.56,69.21
97,36.18,68.75
98,30.62,47.79
99,33.32,44.36
100,7.28,44.3
101,9.31,42.12
102,5.95,43.57
103,-2.38,31.26
104,-0.14,31.88
105,-0.33,31.75
106,-54.43,-36.59
107,-51.8,-59.52
108,33.89,35.5
109,36.81,10.18
110,21.33,17.02
111,20.45,16.53
112,22.72,104.89
113,40.17,124.5
114,37.46,126.7
115,39.15,127.44
116,40.32,128.65
117,37.56,126.99
118,39.03,125.75
119,39.42,125.93
120,39.42,125.62
121,38.4,127.18
122,38.34,128.18
123,37.78,126.66
124,37.94,126.59
125,38.34,126.91
126,38.23,127
127,37.09,127.04
